Horodateur,Seconde ville,Troisième ville,Première ville,Environnement,Vie sociale,Accès à la culture,Sécurité,Facilité de transport,Accès à l'emploi,Vie de famille,Coût de la vie,Mer,Montagne,Toulouse,Marseille,Alès,Paris,Annecy,Bordeaux,Lyon,La Rochelle,Saint Chamas,Note max,Proche de la mer?,Proche de la montagne
,,,Alès,7,8,5,4,5,6,7,10,0,0,,,,,,,,,,,,
,,,Alès,8,3,7,7,7,3,6,10,0,0,,,,,,,,,,,,
,,,Alès,5,6,6,4,6,6,7,10,0,0,,,,,,,,,,,,
,,,Alès,6,6,5,5,6,6,3,9,0,0,,,,,,,,,,,,
,,,Alès,7,5,7,5,6,3,6,9,0,0,,,,,,,,,,,,
,,,Alès,6,6,4,5,6,7,3,10,0,0,,,,,,,,,,,,
,,,Alès,5,7,7,6,5,6,6,9,0,0,,,,,,,,,,,,
,,,Alès,5,6,7,6,5,6,3,9,0,0,,,,,,,,,,,,
24/01/2021 15:43:12,Toulouse,Toulouse,Annecy,8,2,5,6,7,3,3,10,0,1,4,2,2,1,5,5,4,4,3,5,Pas important,Pas important
24/01/2021 16:04:23,Bordeaux,Toulouse,Annecy,8,4,4,9,9,10,10,7,1,0,4,3,3,3,5,5,4,4,4,5,Je veux vivre près de la mer,Pas important
24/01/2021 16:30:46,La Rochelle,Toulouse,Annecy,5,9,7,10,6,10,8,7,1,1,3,1,1,1,5,2,1,4,1,5,Je veux vivre près de la mer,Je veux vivre près des montagnes
24/01/2021 18:03:38,La Rochelle,Saint Chamas,Annecy,7,7,4,10,5,4,7,6,1,0,2,1,1,1,3,2,2,3,3,3,Je veux vivre près de la mer,Pas important
,,,Annecy,9,6,5,10,7,5,7,4,0,1,2,1,3,1,1,4,3,2,4,,,
,,,Annecy,10,5,7,8,6,4,6,3,0,1,4,3,3,3,1,5,5,3,2,,,
,,,Annecy,10,8,6,9,5,7,7,5,0,1,2,3,4,2,3,1,5,5,1,,,
,,,Annecy,9,3,4,7,7,5,7,5,1,1,4,5,2,4,3,2,3,5,4,,,
,,,Annecy,8,3,7,10,6,7,5,4,1,1,,,,,,,,,,,,
,,,Annecy,8,3,6,7,6,7,7,3,0,1,,,,,,,,,,,,
,,,Annecy,5,5,7,7,7,5,5,4,0,1,,,,,,,,,,,,
,,,Annecy,7,5,5,6,4,5,5,1,0,1,,,,,,,,,,,,
,,,Annecy,10,5,5,5,5,7,10,5,0,1,,,,,,,,,,,,
,,,Annecy,7,6,7,6,6,5,9,5,0,1,,,,,,,,,,,,
,,,Annecy,5,5,6,10,5,4,9,3,0,1,,,,,,,,,,,,
,,,Annecy,9,5,7,10,4,7,7,2,1,1,,,,,,,,,,,,
,,,Annecy,7,3,6,10,5,4,9,1,1,1,,,,,,,,,,,,
,,,Annecy,7,7,6,7,4,7,9,3,1,1,,,,,,,,,,,,
,,,Annecy,5,4,6,8,6,2,10,1,1,1,,,,,,,,,,,,
,,,Annecy,7,4,5,5,6,3,7,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,7,5,3,9,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,6,6,6,6,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,5,6,6,10,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,8,6,7,9,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,9,6,2,10,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,9,7,2,8,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,6,5,6,6,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,6,5,6,5,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,5,5,2,10,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,7,6,6,8,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,8,6,6,8,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,10,7,5,10,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,7,6,6,6,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,6,5,4,10,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,8,7,5,8,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,8,4,6,8,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,9,4,6,6,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,6,4,5,7,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,8,7,3,7,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,8,6,7,10,2,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,9,6,2,7,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,8,6,3,7,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,7,5,6,7,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,6,7,5,8,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,10,4,4,5,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,6,7,7,7,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,10,7,2,9,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,8,5,6,7,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,5,6,6,8,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,9,7,4,7,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,7,7,5,10,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,10,4,5,6,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,5,6,5,6,2,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,8,4,7,8,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,7,7,7,6,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,8,4,7,9,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,10,7,7,5,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,5,5,5,6,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,9,7,5,8,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,6,6,4,5,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,5,4,4,5,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,10,6,2,5,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,10,7,7,8,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,8,5,2,7,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,9,6,4,6,2,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,8,6,4,8,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,10,5,6,6,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,9,5,2,7,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,5,5,3,8,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,9,6,6,7,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,5,5,2,5,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,6,5,4,6,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,9,7,5,7,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,7,7,5,5,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,8,6,6,7,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,5,4,7,5,2,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,9,6,3,8,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,10,4,3,7,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,7,6,2,9,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,9,7,3,8,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,5,4,7,10,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,8,4,7,8,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,8,5,3,10,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,8,6,5,5,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,9,7,2,5,5,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,7,5,7,6,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,10,6,6,10,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,8,4,7,7,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,9,4,3,8,5,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,10,5,5,9,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,7,4,4,7,1,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,9,7,3,5,3,0,1,,,,,,,,,,,,
,,,Annecy,8,4,6,10,5,6,5,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,9,6,3,9,4,0,1,,,,,,,,,,,,
,,,Annecy,8,4,7,7,6,2,10,1,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,10,7,5,9,2,0,1,,,,,,,,,,,,
,,,Annecy,7,4,6,9,6,7,6,4,0,1,,,,,,,,,,,,
,,,Annecy,7,4,5,7,6,7,6,3,0,1,,,,,,,,,,,,
,,,Annecy,7,4,7,8,4,6,10,2,0,1,,,,,,,,,,,,
,,,Annecy,8,4,5,8,7,6,6,2,1,0,,,,,,,,,,,,
,,,Annecy,7,4,7,10,4,5,5,1,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,8,4,5,6,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,8,4,2,9,4,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,6,6,3,6,2,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,10,5,7,6,3,1,0,,,,,,,,,,,,
,,,Annecy,7,4,7,7,4,4,9,4,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,7,4,5,8,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,9,6,4,6,2,1,0,,,,,,,,,,,,
,,,Annecy,7,4,7,9,5,6,9,4,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,9,4,4,8,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,10,4,5,9,2,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,7,6,5,9,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,7,5,5,5,2,1,0,,,,,,,,,,,,
,,,Annecy,7,4,7,8,5,6,6,4,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,9,7,6,9,1,1,0,,,,,,,,,,,,
,,,Annecy,7,4,7,10,4,7,5,3,1,0,,,,,,,,,,,,
,,,Annecy,7,4,6,6,6,2,7,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,6,4,4,6,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,7,7,7,6,4,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,9,6,2,9,5,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,7,6,7,5,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,7,5,6,7,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,6,5,6,3,5,5,1,0,,,,,,,,,,,,
,,,Annecy,8,4,6,10,4,5,10,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,5,8,4,4,8,2,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,6,5,7,5,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,6,10,7,5,8,1,1,0,,,,,,,,,,,,
,,,Annecy,7,4,6,8,4,3,6,3,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,10,7,5,7,2,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,5,6,2,6,1,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,10,7,7,5,3,1,0,,,,,,,,,,,,
,,,Annecy,8,4,7,7,4,6,10,1,1,0,,,,,,,,,,,,
,,,Annecy,7,4,6,6,7,2,6,3,1,0,,,,,,,,,,,,
,,,Annecy,7,4,5,8,5,4,10,1,1,0,,,,,,,,,,,,
